0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.91834855,0.65540713,0.8380417,0.12419949,0.5519449,0.40107456,0.43101627,0.6408007,0.9635503,0.5615692,0.962585,0.6348104,0.27048704,0.8034811,0.01831502,0.56221515,0.20539835,0.18440822,0.6040975
0.9822697,0.64302063,0.8880715,0.26341292,0.22900589,0.48522237,0.34247643,0.5678159,0.7424727,0.25814456,0.8063972,0.68757594,0.3124804,0.9322742,1.8114557e-06,0.04123156,0.099136524,0.07720159,0.76103175
0.903373842022919,0.48055458217710195,0.7579815450428987,0.09218387507935318,0.19310705039281206,0.2813562556284698,0.23584866860728143,0.43072222579489966,0.7221889351577113,0.21484479203368081,0.7818893741691528,0.4926937857090013,0.16957097377608452,0.7591690245500898,1.811279853967373e-06,0.03994895470260105,0.07165537264661208,0.057551133454406836,0.5077772272708155
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.9583956,0.6502147,0.79967767,0.13543715,0.16673751,0.3428284,0.39077413,0.4884234,0.9732164,0.54680943,0.92518467,0.5167119,0.33953974,0.77973133,0.0,0.40349764,0.2307986,0.11373316,0.69630194
0.96792513,0.74333924,0.913959,0.10908985,0.22408083,0.3927147,0.39667705,0.55029434,0.69238645,0.26422322,0.78427947,0.8372404,0.05085149,0.9510534,0.0,0.025007859,0.003515734,0.013802842,0.70384115
0.928894545583799,0.5310012254887656,0.7436909429942744,0.06430763212875636,0.10570683896740474,0.2240500273887827,0.24510011941553017,0.34908724903145166,0.6794398351526173,0.21675662020842196,0.7375060481695633,0.4695465338720176,0.046274293405238386,0.7496484446620715,0.0,0.024116282997297858,0.003475016670882292,0.0124624011288945,0.5385221720074436
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
